#OG_name	protein_names
OG_1	A0A2K3DNG6_CHLRE A0A2K1KW76_PHYPA USO1_HUMAN GOGC6_ARATH A7RSQ0_NEMVE A7T7T5_NEMVE H3H5P8_PHYRM H3H0H4_PHYRM Q553R1_DICDI A9UY57_MONBE E9AF72_LEIMA Q1K4Z6_NEUCR A0A0D1C041_USTMA F4PCC2_BATDJ
OG_2	H3H1F6_PHYRM H3H782_PHYRM A0A0D1BWV7_USTMA A0A2K3CZ00_CHLRE A0A2K1L7E7_PHYPA NOL8_HUMAN Q9FGT1_ARATH A7SGF9_NEMVE Q54IP7_DICDI F4PDS8_BATDJ
OG_3	Q3SE84_PARTE A0A2K3CS01_CHLRE A7SSX1_NEMVE EXOC3_DICDI A9RYA4_PHYPA EXOC3_HUMAN SEC6_ARATH Q1K527_NEUCR H3GWW8_PHYRM H3H258_PHYRM A0A0D1DY75_USTMA F4PB65_BATDJ EX3L1_HUMAN B8CE99_THAPS
OG_4	A8J3Y6_CHLRE A0A2K1KEY3_PHYPA PUR4_HUMAN PUR4_ARATH A7RFF5_NEMVE H3H6Y3_PHYRM H3G9D6_PHYRM H3GGX5_PHYRM H3GDX3_PHYRM PUR4_DICDI B8CE77_THAPS A9UXN4_MONBE Q7S8V0_NEUCR A0A0D1E1W2_USTMA F4P7I7_BATDJ
OG_5	H3G7Z4_PHYRM H3GAY2_PHYRM H3H704_PHYRM H3H538_PHYRM H3GAE5_PHYRM A8IQZ8_CHLRE B5YNU9_THAPS
OG_6	A0E8W4_PARTE A0A2K3D7A4_CHLRE CT194_HUMAN A7S7K5_NEMVE H3H5E1_PHYRM H3GMY5_PHYRM
OG_7	A2GDL5_TRIVA A8BX96_GIAIC A0A2K3DBE4_CHLRE A9RV70_PHYPA RPC5_HUMAN Q9FGZ3_ARATH H3H5H0_PHYRM H3GH35_PHYRM B8BWK0_THAPS A0A0D1C5R5_USTMA F4PB21_BATDJ Q86JI9_DICDI A9V961_MONBE Q4QG17_LEIMA
OG_8	A9VDS1_MONBE A0A2K1LA11_PHYPA TPC2_HUMAN A0CNH5_PARTE A7RM05_NEMVE TPC1_HUMAN A9T5T5_PHYPA A0BAV7_PARTE Q54HZ8_DICDI A9UUV2_MONBE H3GUA0_PHYRM A9UQH3_MONBE H3HDM2_PHYRM A7T9X0_NEMVE B8BSH1_THAPS A0A2K1KUT0_PHYPA A7SNJ0_NEMVE Q05KM6_PHYPA A0A2K1L0Z0_PHYPA A0A2K1IRL4_PHYPA A0A2K1JIK9_PHYPA A0A2K1JCX4_PHYPA A7STF7_NEMVE TPC1_ARATH A9V8X6_MONBE A0CKD9_PARTE Q6BFJ3_PARTE A0A2K1J0K4_PHYPA
OG_9	A9SB19_PHYPA H3GU44_PHYRM RS23_HUMAN B8C1Z7_THAPS A0CN04_PARTE Q4QC89_LEIMA RS23_DICDI A0A0D1CUL1_USTMA A9V717_MONBE A8IJQ4_CHLRE A2D895_TRIVA RS231_ARATH RS232_ARATH Q6BG32_PARTE A0E674_PARTE F4NY75_BATDJ A7RFJ1_NEMVE A0BBI0_PARTE RS23_NEUCR A8BS96_GIAIC O97248_PLAF7
OG_10	A7SDZ8_NEMVE A0E6D9_PARTE Q6BG97_PARTE A0BBQ9_PARTE A0CJM8_PARTE A0BBR0_PARTE A0BBR1_PARTE
OG_11	A0A2K1IHD8_PHYPA DBR1_HUMAN Q54VL9_DICDI A0A2K3E3P4_CHLRE A0C0G2_PARTE Q8IDT0_PLAF7 Q1K5F4_NEUCR A0A0D1E9P4_USTMA Q6BGF3_PARTE A0BBX5_PARTE Q4QEA7_LEIMA F4PCV6_BATDJ A0BBX4_PARTE B8BRL3_THAPS A7SUW5_NEMVE A9V6Y2_MONBE H3GGX3_PHYRM DBR1_ARATH A2D8Y4_TRIVA
OG_12	Q1K7R9_NEUCR A8J9G7_CHLRE A0A0D1CUI6_USTMA Q54HE3_DICDI A2DL41_TRIVA F4P2J5_BATDJ RFA1A_ARATH Q9U0J0_PLAF7 A0CYN4_PARTE A9UTP6_MONBE RFA1E_ARATH A8BEQ9_GIAIC A2ECH5_TRIVA A0A2K1IUV1_PHYPA A0CXL6_PARTE A2G5D0_TRIVA RFA1B_ARATH A0A2K1L8X8_PHYPA B8C750_THAPS Q4Q884_LEIMA A0A2K1IJN9_PHYPA A0BC65_PARTE A0A2K3CQ68_CHLRE RFA1_HUMAN H3GCB9_PHYRM A0C9Y4_PARTE RFA1C_ARATH A7SJL0_NEMVE A8DVN3_NEMVE Q8I3A1_PLAF7 A2F7T1_TRIVA A0E7B8_PARTE RFA1D_ARATH
OG_13	A0BCA7_PARTE A0DAI4_PARTE A0BDJ1_PARTE A0BWM2_PARTE A0BX01_PARTE A0DXM5_PARTE F4PEP4_BATDJ A0C9N7_PARTE A0D032_PARTE A0DHV9_PARTE A0CPK1_PARTE A0E2H7_PARTE A0D915_PARTE A0C580_PARTE A0E0C0_PARTE A0DVN5_PARTE A0ECA6_PARTE A0BNY9_PARTE A0DIF4_PARTE A0C9B7_PARTE A0CVL9_PARTE A0E4D3_PARTE A0DZK2_PARTE A0E9N3_PARTE A7RIL6_NEMVE A0CRG8_PARTE A0BRU5_PARTE A7RLB8_NEMVE A2DRK1_TRIVA A0C751_PARTE A0DFG8_PARTE A0C2B1_PARTE A0EAU3_PARTE F4PA83_BATDJ A0CJE1_PARTE ST32A_HUMAN A0DG95_PARTE A9V9G9_MONBE A0CB56_PARTE A0DXD7_PARTE A0CIP0_PARTE A0BVM5_PARTE A0BCG0_PARTE A0DBE5_PARTE A0BPB4_PARTE A0DTB0_PARTE A0BT25_PARTE A0CX89_PARTE A0BZE4_PARTE A0EAI5_PARTE A0BNB1_PARTE A0EFF7_PARTE A0CQU7_PARTE A0BCT1_PARTE A0DPJ3_PARTE A0DP63_PARTE A0CDJ0_PARTE A0CRL6_PARTE A0C8I8_PARTE A0EAJ3_PARTE A0DRV8_PARTE A0DRV9_PARTE A0CF12_PARTE A0BKL5_PARTE F4P8X1_BATDJ A0DGQ2_PARTE Q7S6G1_NEUCR A0CGV1_PARTE A0BD90_PARTE A0C519_PARTE A0DFZ9_PARTE A0CIE7_PARTE A0DXV5_PARTE A0C235_PARTE A0E2Q8_PARTE ST32C_HUMAN F4P1M0_BATDJ A0BSE9_PARTE A0E5D2_PARTE A0DUR1_PARTE A0C404_PARTE A0EDP3_PARTE A0CJ58_PARTE A0E419_PARTE A0C980_PARTE ST32B_HUMAN H3GTP4_PHYRM A0DE77_PARTE A0EHG7_PARTE A0A0D1C284_USTMA A0CYI7_PARTE B8BQL4_THAPS F4NVT7_BATDJ A0D6S1_PARTE
OG_14	A0CMP4_PARTE OTUB1_HUMAN A0BX13_PARTE A0E9B0_PARTE A0A2K3DM53_CHLRE F4NY41_BATDJ A0A2K3DM73_CHLRE A0A2K3DM82_CHLRE A0A2K3DM45_CHLRE A0A2K3DM47_CHLRE A0A2K3DM57_CHLRE A7RWX6_NEMVE A0BCD9_PARTE A7RWX7_NEMVE A0DP35_PARTE OTUBL_ARATH A0BCF3_PARTE A0BMT8_PARTE A0DP51_PARTE A0BR67_PARTE A0CE99_PARTE B5YNZ3_THAPS H3H1C1_PHYRM A0A2K1KGZ1_PHYPA A0C366_PARTE A0BR90_PARTE A0CEC0_PARTE A9UP29_MONBE A0C380_PARTE A0C383_PARTE A0E810_PARTE A0A2K1KI58_PHYPA A0D2Y9_PARTE A0D2Y7_PARTE A0D2Z2_PARTE A8IIC5_CHLRE OTUB2_HUMAN A0A0D1E200_USTMA A0CXT1_PARTE Q4QE49_LEIMA Q7SI56_NEUCR
OG_15	A7T0J5_NEMVE A2E118_TRIVA A0DP99_PARTE A9URB0_MONBE A0A2K1LAS4_PHYPA A0A2K1J2Y0_PHYPA H3GXU0_PHYRM Q66GP5_ARATH A0A2K1JVN8_PHYPA TBCC1_HUMAN B8C101_THAPS C6EWZ9_CHLRE A0A2K1KZQ8_PHYPA F4J4K6_ARATH F4PDT5_BATDJ Q54U82_DICDI A0A2K1JH91_PHYPA A0BCJ6_PARTE E9ADF3_LEIMA
OG_16	Q8IKJ3_PLAF7 A0DPA0_PARTE A0A0D1DUX6_USTMA A0A2K1JMV6_PHYPA A9US85_MONBE F4NZF4_BATDJ A8IW57_CHLRE H3GYE0_PHYRM B8C624_THAPS A7SMU1_NEMVE Q9SJL4_ARATH ZN593_DICDI ZN593_HUMAN A0BCJ7_PARTE A8BB65_GIAIC Q7S4W2_NEUCR
OG_17	Q8ILI2_PLAF7 PRLA_DICDI A0A2K1JUX1_PHYPA A8BCH0_GIAIC H3G913_PHYRM A0C9C0_PARTE F4P8F5_BATDJ A9V8B1_MONBE A9SUB4_PHYPA A9UWM2_MONBE EBP1_ARATH U9W548_NEUCR A0BCT0_PARTE A0DPJ2_PARTE Q4QG86_LEIMA Q4QDK5_LEIMA A0A0D1DR45_USTMA A8JAW4_CHLRE A0DGD6_PARTE A7SKM1_NEMVE B8C3X0_THAPS A9TMB0_PHYPA H0YIN7_HUMAN PA2G4_HUMAN
OG_18	V5ILJ9_NEUCR E9AEQ1_LEIMA A7RXK5_NEMVE AAKG3_HUMAN AAKG2_HUMAN A0A2K3D1M9_CHLRE A8B2L9_GIAIC A0E6N4_PARTE B8BU70_THAPS A0CG33_PARTE A0A0D1E669_USTMA H3H7R5_PHYRM SNF4_ARATH A0DX48_PARTE A0BC25_PARTE Q6BGJ2_PARTE A0A2K1KAE9_PHYPA A0D9A0_PARTE A0A2K1KAF1_PHYPA A0BCY0_PARTE A0C0M5_PARTE A0A2K1JV86_PHYPA A9V4V9_MONBE AAKG1_HUMAN PRKAG_DICDI A0DPP7_PARTE F4NZW1_BATDJ
OG_19	F4NS91_BATDJ A0C973_PARTE A0BCY6_PARTE A0DG89_PARTE A7SX22_NEMVE PH4H_HUMAN Q6WRI4_LEIMA B8LE69_THAPS A9UUJ8_MONBE PH4H_DICDI TPH1_HUMAN TPH2_HUMAN E5KBU4_PHYPA A0BSB2_PARTE TY3H_HUMAN A8HQD7_CHLRE H3G9R5_PHYRM
OG_20	A0A2K1JZH7_PHYPA F4NRT3_BATDJ A0D8M9_PARTE A7SVE1_NEMVE A2EH42_TRIVA A0DPS2_PARTE A0DTJ6_PARTE CD205_ARATH A0C947_PARTE A0DG68_PARTE A0E1E8_PARTE A7SY11_NEMVE Q7RWW5_NEUCR A2FW68_TRIVA Q7SG04_NEUCR A0A2K1LA41_PHYPA CD20B_HUMAN A2DZS0_TRIVA A0A2K1IQI7_PHYPA Q7S7C3_NEUCR A0BQ06_PARTE H3G782_PHYRM A0D9W2_PARTE A7SRF1_NEMVE F4P3Q3_BATDJ B8BS23_THAPS Q4QAF9_LEIMA A2FM05_TRIVA B8CCL0_THAPS A0DGA9_PARTE CDC20_DICDI A0BCU8_PARTE CDC20_HUMAN A0A2K1K6C3_PHYPA F4P4H4_BATDJ A0A0D1DVY5_USTMA A0CPC8_PARTE A0EB24_PARTE A0A0D1CB18_USTMA CDC24_ARATH A2FBC8_TRIVA A0A2K1L0Y5_PHYPA A9VCW3_MONBE CDC26_ARATH A7RTR8_NEMVE H3GL68_PHYRM FZR1_HUMAN A0DPL6_PARTE B8CBY2_THAPS FZR1_ARATH A9V578_MONBE A0A2K3DCY3_CHLRE Q8IJD7_PLAF7 FZR2_ARATH B8C2F7_THAPS CDH1_DICDI A0CS41_PARTE A0ECJ4_PARTE A0DJ95_PARTE A0DDT2_PARTE A0E8P5_PARTE CDC21_ARATH CDC22_ARATH A0EBB1_PARTE A0CP33_PARTE A0A2K1KX37_PHYPA A0BZX2_PARTE A0A2K1JRY7_PHYPA A0A2K3DFB9_CHLRE A0DUY3_PARTE A0EI77_PARTE A0A2K1KLU4_PHYPA FZR3_ARATH CD203_ARATH A7STH2_NEMVE A0A2K1IG13_PHYPA A0BD10_PARTE A0A2K1IQE4_PHYPA
OG_21	FAD5C_DICDI A7T3B4_NEMVE A7SVJ5_NEMVE FAD5A_DICDI Q4Q0J5_LEIMA FAD5B_DICDI A0BD31_PARTE A0CEV4_PARTE A0A2K1JC31_PHYPA H3H6R0_PHYRM H3G8F3_PHYRM B8CG41_THAPS
